"PRESONUS AUDIO ELECTRONICS, INC.",AUDIO EQUIPMENT MANUFACTURING
"PEOPLE, PROCESS & MEASURES, LLC","MARKETING, SALES AND PROMOTIONS"
"PROTECT YOUR ASSETS, INC.",CONSULTING AND MARKETING.
"PANAGIOTI, LLC","THE PURPOSE OF THE LLC IS TO ACQUIRE, HOLD, OWN, DEVELOP, CONSTRUCT, REHABILIT"
"PHOENIX HOUSES OF NEW ENGLAND, INC.",NONPROFIT DRUG/ALCOHOL ABUSE TREATMENT/PROVENTION
PAINO ASSOCIATES,REAL ESTATE
PANDA OF 888 INC.,FULL SERVICE RESTAURANT
"PESKIN, COURCHESNE & ALLEN, P.C.",PRIVATE LAW FIRM
PIVOTAL RESEARCH LLC,"RESEARCH, CONSULTING, FINANCIAL, AND TECHNOLOGY SERVICES"
PETERBOROUGH HOUSING ASSOCIATES LIMITED,REAL-ESTATE
PLACON IM INC.,MANUFACTURE PLASTIC PACKAGING
"PATRICIA MCDONAGH INTERIOR DESIGN, LLC","PROVIDE INTERIOR DESIGN CONCERNING GENERAL AND DETAILED PLANNING, SPATIAL A"
"PRAY TRUCKING, INC.",TRUCKING
"PURENERGY OPERATING SERVICES, LLC",POWER PLANT MANAGEMENT
PAGE CONSULTING LLC,CONSULTING SERVICES
PREMIUM DISCOUNT OIL CO .,HEATING OIL DEALER
"PROJECT PLANNING, INCORPORATED",PROJECT PLANNING AND SCHEDULING SERVICES
PORT LANDING DEVELOPER LLC,THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO PROVIDE DEVELOPMENT
"PATRIOTS LANDSCAPE & CONSTRUCTION, INC.",LANDSCAPE AND CONSTRUCTION
"PHOENIX MILLWORK, INC.",INSTALL OF CUSTOM COMM CABINETRY AND SOLID SURFACE
"PSC MANAGEMENT, L.P.",PRIVATE INVESTMENT MANAGEMENT.
"PLEASANT STREET WEALTH ADVISORS, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS (I) TO PROVIDE INVESTMENT
PENNEST LIMITED PARTNERSHIP,REAL ESTATE
"PERICOR SCIENCE, INC.",DRUG DEVELOPMENT
"PCA INSURANCE AGENCY, INC.",GENERAL INSURANCE
"PEAK FALL PROTECTION, INC.",DESIGN/MANUFACTURING/INSTALLATION FALL PROTECTION
"POSITANO SERIES, LLC",INVESTMENTS
"PERDOMO INVESTMENTS, LLC",REAL ESTATE INVESTMENT AND MANAGEMENT AND ALL MATTERS RELATED THERETO.
PERALTA CONSTRUCTION INC,GENERAL CONSTRUCTION
"PAUL NUNES ELECTRICAL, INC.",ELECTRICIAN
"P & D GROUP, INC.",THAI RESTAURANT
PERPETUAL HEALTH CLINIC INC.,MEDICAL SERVICES PROVIDER
"POQUOY INVESTMENT GROUP, LTD.",PUBLIC GOLF COURSE
"PREMIER FINANCIAL SOLUTIONS, INC.",ACCOUNTING AND FINANCIAL SERVICES
"PETER D. MAY, DC, PC",CHIROPRACTIC
"P.I.L. CAB, INC.",TAXI SERVICE
"PROLO SERVICES, INC.",MAGAZINE DISTRIBUTION / COURIER
"PAPERS, INC.",DIGITAL PUBLICATION
"PRE-PREP SHOWCASE® , L.L.C.",ARRANGING AND CONDUCTING ATHLETIC COMPETITIONS AND EDUCATIONAL CONFERE
PISCES CORPORATION,ENGINEERING SERVICES
"PARK LODGE HOSPITALITY GROUP, INC.",1968
"PYRAMID STEEL SERVICE, INC.",CONSTRUCTION
PRAGAT CORP.,SMOKE SHOP
P & B GROUP LLC,PIZZA/FOOD SALES AND BAR AREA
"UPLAND SOFTWARE I, INC.","SOFTWARE DEVELOPMENT, SALES, & SERVICES"
"PEBBLES RESTAURANT, LLC",RESTAURANT
PNEUNETS LLC,RESEARCH AND DEVELOPMENT OF ROBOTIC DEVICES
"POND SQUARE REALTY, LLC",LESSOR OF COMMERCIAL REAL ESTATE
"PRAXIS, INC.",RESEARCH/SOFTWARE FOR DEVELOPMENTAL DISABILITIES
WHAT'S NEXT MEDIA AND ANALYTICS LLC,MEDIA: ONLINE PUBLICATION
"PRUNING MATTERS, LLC","SELLING DVDS AND BOOKLETS: EDUCATIONAL, INSTRUCTIONAL MATERIAL ON PRUNING"
PHYSICAL THERAPY EDUCATION AND,THE LLC WILL PROVIDE CONTINUING EDUCATION COURSES AS WELL AS CONSULTING SE
PSLEND.COM INC.,SALES FINANCE
PCI TAX SERVICE LLC,INCOME TAX PREPARATION AND ELECTRONIC FILING SERVICE
PIRALI TRUCKING INC,LONG DISTANCE TRUCKING
"POPE'S POND DEVELOPMENT, L.L.C.","REAL ESTATE DEVELOPMENT, SALES AND CONSTRUCTION. THE L.L.C. MAY ALSO CARRY"
"PETER WELCH'S GYM DOT AVE., LLC",GYM AND TRAINING FACILITY
"PAULA'S BARN, INC.",OWNING AND OPERATING CHILD CARE FACILITY
"PARVIZ SADOOGHI, D.M.D., P.C.",DENTAL FACILITY
"PILOT SEASON, INC.",LICENSING OF FILMS AND VIDEOS.
PSE HOLDING CORP.,HOLDING CORPORATION
"PROGRESS VENTURE FUND 1, LLC",INVESTMENT FUND.
PHYSICIANS PREFERRED HOMECARE INC,PROVIDING IN HOME HEALTHCARE SERVICES NOT AS A MD
PROTRONICS CORPORATION,ENGINEERING CONSULTING SERVICES.
"PALMIERI HEALTH SERVICES, INC.",NON-MEDICAL HOME CARE SERVICES
DELCAM REAL ESTATE DEVELOPMENT AND,REAL ESTATE
PARK-WELL INC.,CONSTRUCTION MAINTENANCE
PARKMAN REALTY CORPORATION,REAL ESTATE MANAGEMENT
"PROPERTY PROVIDERS, LLC",REAL ESTATE
"PARENT PROJECT FOR MUSCULAR DYSTROPHY RESEARCH,",THE PARENT PROJECT FOR MUSCULAR DYSTROPHY RESEARCH
"THE PAMPERED POODLE, INC.",IT WAS WOMENS CLOTHING STORES
"PATCHWORK PATOOTIE, LLC",MANUFACTURE AND SALE OF HANDMADE CHILDREN'S CLOTHING.
"POLAR LATITUDES, INC.",TOUR OPERATOR
"PRIME PLUMBING, LLC",PLUMBING AND HEATING
"PHONE MAGIC, INC.","STAFFING, SALES AND MARKETING."
PLUS DENTAL LAB CORPORATION,DENTAL LAB
"PRIME ONE MORTGAGE, LLC",MORTGAGE BANKING
PHASEDESIGN RESEARCH INC.,DRUG & PHARMACEUTICAL DEVELOPMENT & RESEARCH
"PITANIELLO COMPANY, LLC",THE BUSINESS MAY ENGAGE IN ANY LAWFUL BUSINESS PERMITTED BY THE MASSACHUSE
PAM & M AUTO SALES CORP.,AUTO SALES
"PEOPLEREADY, INC.",PROVIDER OF TEMPORARY STAFFING
"PARAMOUNT PROPERTY SOLUTIONS, LLC",REAL ESTATE.
"PELOQUIN POND ASSOCIATES, LLC","THE GENERAL CHARACTER OF THE BUSINESS IS TO OWN, MANAGE, SELL, LEASE AND DEV"
"PETER M. FRASCA DMD, P.C.",DENTAL PRACTICE
"KADRMAS EYE CARE NEW ENGLAND, P. C.",OPHTHALMIC MEDICAL CENTER
PELLETIER FAMILY LIMITED PARTNERSHIP,INVESTMENTS
"PARAMOUNT SHEARWATER 375, LLC","REAL ESTATE INVESTMENT, OWNERSHIP, AND LEASING AND DEVELOPMENT."
"PALM COMMODITIES INTERNATIONAL, LLC","ALL LAWFUL PURPOSES, INCLUDING BUT NOT LIMITED TO WAREHOUSING, CONSIGNMEN"
PEOPLEHEDGE CORP,PROVIDE SERVICES TO COMMUNITY BANKS
"PETRICCA SUPERIOR STREET, LLC",REAL ESTATE RENTALS
"PBJ REALTY, LLC","THE PURPOSES OF THE LIMITED LIABILITY COMPANY ARE TO ENGAGE IN OWNERSHIP,MA"
PROFESSIONAL ADVANCED CODING EDUCATION INC.,MEDICAL AND EDUCATIONAL CONSULTING
"P.C. MYETTE, INC.",LANDSCAPING & POWER EQUIPMENT SALES & SERVICE
THE PORTFOLIO LIMITED PARTNERSHIP,INVESTMENTS
"PRIMO WATER OPERATIONS, INC.",BULK WATER EXCHANGE/REFILL VENDING
PERFECT TIMING LLC,PROVIDING WATCH REPAIR SERVICE TO THE CLIENTS INCLUDING BATTERY REPLACEMEN
THE PIANO WAREHOUSE LLC,"PIANO SALES, TUNING, REPAIR, REBUILDING, REFINISHING."
PANTHER HOLDINGS/WINTER SPRINGS LLC,OWN AND INVEST IN REAL ESTATE
PARKER STREET PERFORATING CORP.,MANUFACTURE TOOLS
PAOLA INC,CONVENIENCE STORE
"PONKIM, LLC",RENTAL PROPERTY
PERSEPHONE FOOD CORP.,PIZZA STORE
"PRACTICE PERFECT, INC.",DATABASE CONSULTING SERVICES
PAUL MARTIN CONSTRUCTION CORP.,COMMERCIAL CONSTRUCTION AND RENOVATIONS
"PACKARD ASSOCIATES, INC.",HOME BUILDING
PICMG PROMOTIONS LLC,THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO ACCELERATE THE ADOPTI
"PLATFORMQ HEALTH, INC.",TO OPERATE INDUSTRY FOCUSED VIRTUAL EVENTS
PICKASOUND LLC,PICKASOUND PROVIDES ONLINE TOOLS THAT ENABLE MUSICIANS AND MUSIC FANS TO
"PRONERVE PHYSICIANS (IN), LLC",PROVIDE MISC AMBULATORY HEALTHCARE SVS
"PRIVATE MARKET IMPACT FUND I, L.P.",TO ENGAGE IN MAKING SOCIALLY-RESPONSIBLE INVESTMENTS AND TO CARRY ON ANY
POLO CLUB CORDOVA LIMITED PARTNERSHIP,REAL ESTATE INVESTMENT
PALM CBD LLC,RETAIL
"PROPERSEE, INC.","TECHNOLOGY, REAL ESTATE, AND SERVICES COMPANY"
"IBERDROLA RENEWABLES, INC.","POWER MARKETING, ENERGY GENERATION & GAS TRADING"
"PROMEDICAL, LLC",MEDICAL BILLING SERVICE
"PINNACLE FOUNDATION, LLC","OWN REAL ESTATE AND ENGAGE IN ANY OTHER LAWFUL BUSINESS, PURPOSE OR ACTIVIT"
"PARCHED, LLC","TO OWN, MANAGE, DEVELOP, MAINTAIN, REHABILITATE, RENOVATE, FINANCE, OPERATE,"
"PHOTOGLOW, INC.",MANUFACTURE BACKLIT DIGITAL FRAMES
"PRINCIPAL REAL ESTATE INVESTORS, LLC",REGISTERED INVESTMENT ADVISOR
PAPIN DISTRIBUTION INC,DISTRIBUTOR OF FOODS AND GOODS
"PROSPORTS ANALYTICS, LLC",WEBSITE SUBSCRIPTION FOR SPORTS' FANS.
"PARTITIONS, INC.",DRYWALL CONTRACTOR
"PROGRAMMING RESEARCH, INC.",CUSTOM COMPUTER PROGRAMMING
"PARK ANESTHESIA, INC.",ANSTHESIA SERVICES
"POAH UNITED FRONT FOUR, LLC","TO IDENTIFY, ACQUIRE, OWN, DEVELOP, CONSTRUCT, REHABILITATE, RENOVATE, IMPRO"
FIAM LLC,REGISTERED INVESTMENT ADVISOR
"PC WEISBACH, LLC",PROVIDING OUTPATIENT PHYSICAL THERAPY SERVICES TO INDIVIDUALS EITHER IN THEIR
PET/SHERWOOD LLC,REAL ESTATE INVESTMENT AND OTHER LAWFUL PURPOSES
"PARK BIOSERVICES, LLC","THE COMPANY ENGAGES IN THE BUSINESS OF PRODUCING, MARKETING AND SELLING SE"
PRIME SERVICES HOMECARE LLC,HOME HEALTH CARE
"PLR, LLC","INVEST,OWN AND DEVELOP REAL ESTATE AND INTERESTS THEREIN, INCLUDING BUYING,"
"PROFITTI, INC.",FINANCIAL SERVICES
"PDI FINANCIAL GROUP, A DIVISION OF PENSION DESIGNERS,",PDI FINANCIAL
"PIZZERIA DEMARCO, INC.","FAST FOOD ESTABLISHMENT/PIZZA, SUBS"
"PETRO HOLDINGS, INC.",REAL ESTATE MANAGEMENT
"PEOPLE 2.0 GLOBAL, INC.",TEMPORARY SERVICES
PLYMOUTH EXIT 5 PHASE 2 LLC,ONWER OF REAL ESTATE AND OTHER RELATED ACTIVITIES
PSION CORPORATION,PROVIDER OF MOBILE COMPUTING SOLUTIONS
"POULTRY PRODUCTS OF CONNECTICUT, INC.",WHOLESALE FOOD DISTRIBUTOR
"PEDERSEN ELECTRICAL SERVICES, LLC","TO PERFORM ELECTRICAL SERVICES AND WORK RELATED TO THE INSTALLING, REPAIRIN"
"PATRIOT SECURITY SERVICES, INC.",CCTV SALES AND CONFIGURATION
"PARISI FAMILY PARTNERSHIP, L.P.",REAL ESTATE OWNER
"POTVIN CONSTRUCTION, LLC",CONSTRUCTION AND REMODELING
"PROFESSIONAL MARKETING ASSOCIATES, INC.",MARKETING SERVICES
"PURE BEAUTY SALONS & BOUTIQUES, INC.",RETAIL SALE OF BEAUTY PRODUCTS AND SALON SERVICES
PARENT411 LLC,EDUCATIONAL WORKSHOPS AND TRAININGS
"POST REALTY CO., INC.",REAL ESTATE
"PRUDENTIAL EQUITY GROUP, LLC",BROKER-DEALER
PRINCETON DEVELOPMENT SERVICES LLC,PROPERTY MANAGEMENT
POLYONICS CORPORATION,MFR OF METALLIZED FILM AND FIBERS
"PEDIATRIC BEHAVIORAL HEALTH, LLC","OUTPATIENT PSYCHOLOGICAL, PSYCHIATRIC, AND COUNSELING SERVICES TO CHILDRE"
"PRIMUS MANAGEMENT GROUP, INC.",PROMOTIONAL MARKETING AND SALES CONSULTING
"PILOT PAINTING, INC.",PAINTING SERVICES INCLUDING POWER WASHING
POWDER ROAD LLC,OWNER OF REAL ESTATE.
"POWER REALTY, LLC",COMMERCIAL REAL ESTATE LEASING
"PHIL'S CONSTRUCTION, INC.",COMMERCIAL AND RESIDENTIAL CONSTRUCTION
"PERKINS & ANCTIL, P.C.",LAW FIRM
PEAK RIDGE COMMUNITY & BUSINESS,"INTERMEDIARY VEHICLE FOR THE PROVISION OF LOANS, INVESTMENTS, OR FINANCIAL C"
"PATRIOT COMMERCIAL INVESTORS, LLC",COMMERCIAL REAL ESTATE INVESTING AND ANY LAWFUL BUSINESS FOR WHICH A LIMIT
PROCTOR MANSION INN LLC,BED AND BREAKFAST INN
"PR356, LLC",REAL ESTATE
"PARKER'S PORTABLES, LLC","TO OWN, LEASE AND MAINTAIN PORTABLE TOILETS AND RELATED EQUIPMENT."
CHARLOTTE LACROSSE LLC,TO MANAGE A PROFESSIONAL SPORTS TEAM
PINNACLE CONSTRUCTION CONSULTANTS CORP.,CONSTRUCTION MANAGER
"PALLIATECH MA, INC.",HOLDING COMPANY
"PARADOX CONSULTING, LLC",QUALITY AND REGULATORY CONSULTING
PEREIRA CLEANING INC,GENERAL CLEANING
"PROFESSIONAL EMPLOYER RESOURCES, INC.",PROFESSIONAL EMPLOYER RESOURCE
PIRES CARPENTRY INC,INTERIOR AND EXTERIOR CARPENTRY
"RUE21, INC.",RETAIL APPAREL SALES
P.A.S.M. INC.,CLINICAL TRIAL MANAGEMENT AND CONSULTANCY
PERCEPTIVE HOMES LLC,HOME SALES
PRM AUTO SPONSOR LLC,"THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO PURCHASE, ACQUIRE, BU"
THE POISSANT & NEVEU TEAM LLC,REAL ESTATE SALES
PRO LINE CLEANING SERVICES INC,OFFICE AND BUSINESS CLEANING SERVICES
PYRAMID NEWARK MANAGEMENT LLC,REAL ESTATE
"PHIL'S BOTTLED GAS SERVICE COMPANY, INC.",SALES OF PROPANE GAS
"PERKINS SQUARE DELI, INC.",COFFEE SHOP
"PRINTING TECHNOLOGIES & SOLUTIONS, INC.",CUSTOM PRINTING
PRO CONSTRUCTION & REMODELING CORP,REMODELING/CONTRUCTION
"PUOPOLO & CARR, P.C.",LAW PRACTICE
"PHOENIXX TPC, INC.",MANUFACTURE THERMOPLASTIC
"PAPA GINO'S, INC.",RESTAURANT
"PROMACH, INC.",MACHINE SHOP
POWER FACTORS LLC,ENERGY MONITORING & PERFORMANCE SOLUTIONS
"PAUL L. DAVIES & ASSOCIATES, ARCHITECTS, INC.",ARCHITECT SERVICES
"PARTY WORKS, INC.",RETAIL STORE - PARTY GOODS
POERIO INCORPORATED,COMMERCIAL CONSTRUCTION
"PROPRIETARY DATA SOLUTIONS, LLC",CONSULTING - COMPUTER SYSTEMS
"PYRAMID TECHNOLOGY SERVICES, INC.",RESALE OF IT PRODUCTS AND MAINTENANCE SERVICES
"PROSERVICES, INC.",TEMPORARY/PERMANENT STAFFING SERVICE
"PROTAXIS PHARMA, LLC",CONSULTING - CMC (CHEMICAL MANUFACTURING CONTROLS) AND PHARMACEUTICAL D
"POWERLINE MORTGAGE & LOAN, INC.",MORTGAGE BROKERING
"PREMIER FOOT AND ANKLE CENTER, LLC",THE COMPANY IS ORGANIZED FOR THE PURPOSE OF ARRANGING FOR THE DELIVERY OF H
"PRAIRIE STATE ADMINISTRATIVE SERVICES, INC.",INSURANCE SERVICES
PARK ST LLC,"TO ACQUIRE, DEVELOP, SELL AND RENT REAL ESTATE AND ANY OTHER ACTIVITY ALLOW"
"P.M.P. ASSOCIATES, LLC",THE GENERAL CHARACTER OF THIS PROFESSIONAL SERVICE BUSINESS IS CIVIL ENGINEER
"POLYGLOT CONSULTING, INC.",HEALTH CARE CONSULTING
"PRIME HOME SERVICES, INC.",PEST CONTROL / HOME SERVICES
"PRESIDIO SERVICE SOLUTIONS, INCORPORATED",COMPUTER/INFORMATION TECHNOLOGY SUPPORT SERVICES
PADMET LLC,CONSULTING SERVICES
"PARK RESTAURANT, INC.",BAR RESTAURANT
PLANNED GROWTH BUSINESS DEVELOPMENT SOLUTIONS INC.,PROFESSIONAL SERVICES - MANAGEMENT CONSULTING
"POWERS LANDSCAPING, INC.",LANDSCAPING AND LAWN CARE SERVICES
"PROFORCE PERSONNEL GROUP, INC.",TEMPORARY IT STAFFING
PRO-TECH AUTO & TRUCK REPAIR INC.,AUTO REPAIR
"P & JV OF SOUTH PLYMOUTH, INC.",RESTAURANT
"PARADISE CONSTRUCTION, LLC",RESIDENTIAL CONSTRUCTION
"PROTECTION ADVANTAGE, INC.",INSURANCE BROKERAGE
PETER PIPPOS KARATE CENTER INC.,MARTIAL ARTS
PHOENIX CAPITAL GROUP LLC,REAL ESTATE INVESTMENTS AND RELATED MANAGEMENT
"PETER MCDONALD ARCHITECT, LLC",TO ENGAGE IN PROVIDING ARCHITECTURAL SERVICES IN CONNECTION WITH RESIDENTIA
PRO 4 SERVICES LLC,"PAINTING, POWER WASHING, CARPENTRY, TILE WORK, ETC."
"PRO PEL PLASTECH, INC.",PLASTIC RECYCLING
"PALADINA HEALTH, LLC",HEALTH CARE
"PRIVOLUTION, INC.",PRIVACY SOLUTIONS
"PROLINE HOLDINGS AND TRANSPORTATION,","REAL ESTATE, HOLDINGS, TRANSPORTATION, AS WELL AS ANY OTHER LAWFUL PURPOSE"
PSSC HOLDINGS CORP.,STORAGE & SHIPPING
"POYANT SIGNS, INC.",SIGN MANUFACTURER
"PAV PROPERTIES, LLC",DEVELOPMENT AND CONSTRUCTION OF RESIDENTIAL REAL ESTATE.
"PLUMB SOLAR, LLC",PROVIDE HELP WITH SOLAR FACILITY
"PHYSICIANS PAIN MANAGEMENT CENTER, INC.",PRACTICE OF MEDICINE/ANESTHESIA/PAIN
"PT REAL ESTATE, LLC",TO HOLD / RENT COMMERCIAL REAL ESTATE
"PARK AVENUE CONSTRUCTION, LLC","TO INVEST IN, HOLD AND MANAGE INCOME-PRODUCING REAL ESTATE WHICH IS IMPROV"
"PURE BEAUTY STUDIO, LLC",SERVICE: HAIR SALON.
"PALFREY PROPERTIES, LLC",DEVELOP REAL ESTATE
"PROPERTY PRO-FESSIONALS, INC.",REAL ESTATE MANAGEMENT
PETERSSON DESIGN-BUILD LLC,"RESIDENTIAL CONSTRUCTION, CARPENTRY, MAINTENANCE/HANDYMAN WORK, AND REL"
"PIRES BUILDING & REMODELING, INC.","PIRES BUILDING & REMODELING, INC."
"PEARSON HARDWARE & SUPPLY, INC.",RETAIL SALES OF HARDWARE & YARD SUPPLIES
PAXTON PEST CONTROL INC.,PEST CONTROL SERVICES
PEDRO'S TACOS BOSTON LLC,RESTAURANT
PRADO PAINTING SVS INC,PAINTING CONTRACTOR
PORTUGUESE AMERICAN SOCCER ACADEMY,"TO ESTABLISH, MAINTAIN, CONDUCT AND OPERATE SOCCER CAMPS AND ACADEMIES FOR"
PARKSIDE COMMONS APARTMENTS LLC,"TO ACQUIRE, OWN, HOLD, SUBDIVIDE, LEASE, FINANCE, MANAGE, RENT, OPERATE, RENO"
PUSS AND PUPS BOUTIQUE LLC,PET GROOMING
"PERFORMANCE PILATES, LLC",PILATES AND FITNESS STUDIO.
"P. P. BRIDGE, INC.",RETAIL SALES OF CLOTHING AND ACCESSORIES
"PAYLOAD SYSTEMS, INC.",SCIENTIFIC EQUIPMENT R&D
"PATCHA, LLC","TO PURCHASE, SELL, LEASE AND MAINTAIN RESIDENTIAL AND COMMERCIAL REAL ESTAT"
PECKHAM ROAD II LIMITED PARTNERSHIP,REAL ESTATE HOLDING
"PREMIER UTILITY SERVICES, LLC","PROVIDES LOCATING AND MARKING OF UNDERGROUND UTILITY FACILITY, STRAY VOLT"
"PRATT & WHITNEY MILITARY AFTERMARKET SERVICES, INC.",OVERHAUL FACILITY FOR MILT ENGINES
PROMOVE FINE FURNITURE DELIVERY INC.,TRUCKING HOME DEL
PREMIER MOVING & STORGARE INC,HOUSEHOLD MOVER
"POCOMO, LLC",REAL ESTATE HOLDING COMPANY
"PRIETO EMPANADAS, INC.",COPLEY TAX EXECUTIVE GROUP INC
"PERRY LANDSCAPING SERVICES, LLC",SERVICES - LANDSCAPING AND SNOW REMOVAL
PERPETUAL PARTNERS LLC,INVESTMENTS
PRIVATE CAPITAL & TRUST CORP.,FINANCE
PIEROPAN PROPERTY MANAGEMENT INC.,PROPERTY MANAGEMENT SERVICES
"PIONEER VALLEY ENERGY CENTER, LLC","THE GENERAL CHARACTER OF THE BUSINESS OF THE COMPANY IS (A) TO DEVELOP, OWN"
STUDIO V HAIR SALON INC.,HAIR/COSMETOLOGY SALON SERVICES
PONTE R.E.I. LLC,HOME IMPROVEMENT SERVICES REAL ESTATE INVESTMENTS
"PEDRO'S SERVICE STATION, INC.",REAL ESTATE RENTAL
"PLACE RECRUITING, INC.",STAFFING
"PROCUREMENT PARTNERS, LLC",PROCUREMENT AUTOMATION
"PULSAR CREATIVE GROUP, LLC",CREATIVE / MARKETING - THE BUSINESS PROVIDES CREATIVE AND MARKETING SERVICES
"PIGOTT REALTY ASSOCIATES, LLC","THE COMPANY IS FORMED FOR THE PURPOSE OF HOLDING, OWNING, BUYING, SELLING, L"
"C. H & R, CO., INC.",BUSINESS SERVICES
"PURITAN BUICK-PONTIAC-GMC TRUCK, INC.",AUTO SALES & SERVICE
STERLING MEDICAL GROUP PC,MEDICAL PRACTICE
"POLYCLINIC AFC, LLC",POLYCLINIC AFC LLC PROVIDES ADULT FOSTER CARE SERVICES
"PRIVATE FINANCIAL DESIGN, LLC",FINANCIAL SERVICES
PHANCKRIS CORPORATION,RESTAURANT
"POMAIKA'I REALTY, LLC",TO OWN AND MANAGE COMMERCIAL REAL ESTATE.
"PLANGENT PROCESSES, INC.",RESEARCH & DEVELOPEMENT OF ESTERIC AUDIO & VIDEO
"PARIS ROOFING AND CONSTRUCTION, INC",ROOFING AND CONSTRUCTION
PURPOSEFUL REALTY LLC,BUYING AND SELLING REAL ESTATE
PARR BUILDING AND REMODELING LLC,PARR BUILDING AND REMODELING IS A BUILDING AND REMODELING COMPANY SERVING
"PIONEER VALLEY ENGINEERING, LLC",ENGINEERING AND PROGRAMMING SUPPORT
"PENTA MOBILITY, INC.","DESIGN, MANUFACTURE & SELL MOBILITY ASSIST DEVICES"
PR INVESTMENTS LLC,"INVESTING IN ANY KIND OF PROPERTY, REAL OR PERSONAL."
"PRIME CARPENTERS, INC.",CARPENTER SERVICES
PREFERRED UNLIMITED INC.,MANAGEMENT COMPANY
"GLOBAL NETWORK ENTERPRISES, INC.",REAL ESTATE BROKER & SALES
PIZZA HOLDINGS LLC,PRIVATE INVESTMENTS
PLATINUM PROPERTIES PC,REAL ESTATE
PARAGON ENTERTAINMENT VENTURES LLC,ENTERTAINMENT CENTER MANAGEMENT AND SERVICES RELATED THERETO
"PRAGMATIC IP, LLC",TO PROVIDE INTELLECTUAL PROPERTY CONSULTING. THE LLC WILL ALSO ENGAGE IN AN
"PEACOCK ALLEY, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN THE GENERAL
PROBE PRODUCTS CORPORATION,ELECTRONIC INSTRUMENT MANUFACTURER
"PJ ASSOCIATES, LLC",BAR AND RESTAURANT
"PLAYDATES FOR PETS, NC.",ANIMAL CARE
PAYROLL PLUS CORPORATION,EMPLOYEE LEASING
"PAPER STORE OF DEDHAM, INC., THE",RETAIL
PROJECT FOR THE ARTS LLC.,TO PROVIDE AFFORDABLE SPACE AND RESOURCE TO THE MASSACHUSETTS ARTIST COM
PISTONE MASSACHUSETTS FAMILY LLC,REAL ESTATE HOLDING COMPANY ENGAGING IN OWNERSHIP AND MANAGEMENT OF REAL
"PURE AND PRETTY, LLC",E-COMMERCE BUSINESS SELLING HANDMADE SKIN CARE PRODUCTS
PHIBRO LLC,TRADES FOR ITS OWN ACCOUNT IN PHYSICAL COMMODITIES
PROVIDENCE DEVELOPMENT GROUP OF,ALL THINGS LEGAL RELATED TO REAL ESTATE.
"PMD CONSTRUCTION COMPANY, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN INVESTMENT I
PLYMOUTH HARBOR FUEL LLC,THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO SELL AND DISPENSE FUEL
PATRIOT EQUIPMENT CORP.,EQUIPMENT RENTAL
"PAVESTONE, LLC",MANUFACTURER OF PACKAGED CONCRETE.
PALMERI ELECTRIC LLC,ELECTRICAL CONTRACTING
PHD PETE HISER DEVELOPMENT CORPORATION,"CARPENTRY, CONSTRUCTION AND PROPERTY MAINTENANCE"
"GALVIN HOLDINGS, INC.",COMMISSION SALES
PURE LINE SKIN CARE INC.,BEAUTY SALON
"THE PLOVERS NEST, LLC","TO ENGAGE IN THE BUSINESS OF OR TO INVEST IN, OWN, DEVELOP, REAL ESTATE AND IN"
PACTIV LLC,MANUFACTURE AND DISTRIBUTE FOOD PACKAGING
"PRIORITY PRE-OWNED, LLC","TO PURCHASE USED VEHICLES, ADD VALUE, AND RESELL AND TO CARRY ON ANY LAWFU"
"POORS ACRES, INC.",FULL SERVICE RESTAURANT
"PROMAX BUILDER, INC.","GENERAL CONSTRUCTION, REAL ESTATE, JANITORIAL"
"P2LETHLOGICS, LLC",TECHNOLOGY DEVELOPMENT AND COMMERCIALIZATION
"POSTE, INC.",PACKING AND SHIPPING
PIEMAN ENTERPRISES INC.,RETAIL FURNITURE STORE
"PIVOT, CLINICAL SUPPLY CHAIN PARTNERS,","FINANCIAL, SUPPLY CHAIN MANAGEMENT AND OTHER SERVICES PROVIDED TO BIOPHAR"
"PAWSITIVE THOUGHTS, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN PROVIDING A
POINTMAN & PARTNERS LLC,IMPORTING AND EXPORTING
"PREMIER FAMILY DENTAL GROUP, P.C.",DENTAL OFFICE
"PARK HOMES, INC.",LANDSCAPING
PRESTIGE ADULT FOSTER CARE LLC,400 GROVE STREET WORCSTER MA 01605
"PSYCHOLINGUISTIC ASSOCIATES, INC.",SPEECH AND LANGUAGE EVALUATIONS
"POLI MORTGAGE GROUP, INC.",MORTGAGE LENDER AND BROKER
SHAKTI JAHU OF SHREWSBURY INC.,RETAIL
PARETOFRONT LLC,ENGINEERING CONSULTING
"ATG PATRIOT, LLC","SELL NEW AND USED TRUCKS, REPAIR TRUCKS, AND SELL PARTS AND COMPONENTS"
"PERRIN PROPERTY MANAGEMENT, INC.",REAL ESTATE MANAGEMENT
